,idx,intent,topic,terms,context,instructions,question
0,CLIMATE INDICATORS_Exploratory,Exploratory,CLIMATE INDICATORS,"['LAND SURFACE/AGRICULTURE INDICATORS', 'CRYOSPHERIC INDICATORS', 'CARBON FLUX']","**TOPIC**: CLIMATE INDICATORS - Climate Indicators are a set of parameters that describe the changing climate without reducing climate change to only temperature. They comprise key information for the most relevant domains of climate change: temperature and energy, atmospheric composition, ocean and water as well as the cryosphere.. 

- *sSUBJECT AREA*: LAND SURFACE/AGRICULTURE INDICATORS
A set of parameters including topography and the heat-island effect that describe the changing climate on the land surface and agriculture lands.
- *sSUBJECT AREA*: CRYOSPHERIC INDICATORS
A set of parameters that describe the changing climate with a focus on the cryosphere, which can include ice sheets, ice shelves, glaciers, snow cover, permafrost (frozen ground), sea ice, and river and lake ice. The cryosphere exerts an important influence on Earth’s climate, owing to its high surface reflectivity (albedo). This property gives it the ability to reflect a large fraction of solar radiation back into space and influences how much solar energy is absorbed by land and oceans. Ice on land, in the form of ice sheets and glaciers, plays a further important role in the Earth system through its ability to store vast amounts of water away from the oceans for long periods of time. Any change in the ice volume stored on land, as ice sheets and glaciers grow or shrink, has a direct impact on global mean sea level. As the climate changes, the cryosphere changes with it and, through feedback processes, these changes have an influence on the climate. For example, the increased melting of snow and ice caused by a warming planet enables more solar energy to be absorbed by land or water, which in turn leads to more warming. This is also known as the snow- or ice-albedo feedback.
- *sSUBJECT AREA*: CARBON FLUX
Carbon flux refers to the direction and rate of transfer, or flows, of carbon between Earth’s carbon pools such as the oceans, atmosphere,land, other living things. Carbon fluxes can be natural exchanges, such as land-atmosphere and ocean-atmosphere fluxes, or anthropogenic exchanges, such as urban carbon fluxes
","
### Question Criteria:

INTENT: Exploratory — The user seeks to discover patterns, generate hypotheses, or broadly explore a topic without predefined expectations. Often open-ended and inductive.

TOPIC:

The topics are extracted from the NASA GCMD Taxonomy. The TOPIC is described and few of its SUBJECT AREAS.

<topic>
    **TOPIC**: CLIMATE INDICATORS - Climate Indicators are a set of parameters that describe the changing climate without reducing climate change to only temperature. They comprise key information for the most relevant domains of climate change: temperature and energy, atmospheric composition, ocean and water as well as the cryosphere.. 

- *sSUBJECT AREA*: LAND SURFACE/AGRICULTURE INDICATORS
A set of parameters including topography and the heat-island effect that describe the changing climate on the land surface and agriculture lands.
- *sSUBJECT AREA*: CRYOSPHERIC INDICATORS
A set of parameters that describe the changing climate with a focus on the cryosphere, which can include ice sheets, ice shelves, glaciers, snow cover, permafrost (frozen ground), sea ice, and river and lake ice. The cryosphere exerts an important influence on Earth’s climate, owing to its high surface reflectivity (albedo). This property gives it the ability to reflect a large fraction of solar radiation back into space and influences how much solar energy is absorbed by land and oceans. Ice on land, in the form of ice sheets and glaciers, plays a further important role in the Earth system through its ability to store vast amounts of water away from the oceans for long periods of time. Any change in the ice volume stored on land, as ice sheets and glaciers grow or shrink, has a direct impact on global mean sea level. As the climate changes, the cryosphere changes with it and, through feedback processes, these changes have an influence on the climate. For example, the increased melting of snow and ice caused by a warming planet enables more solar energy to be absorbed by land or water, which in turn leads to more warming. This is also known as the snow- or ice-albedo feedback.
- *sSUBJECT AREA*: CARBON FLUX
Carbon flux refers to the direction and rate of transfer, or flows, of carbon between Earth’s carbon pools such as the oceans, atmosphere,land, other living things. Carbon fluxes can be natural exchanges, such as land-atmosphere and ocean-atmosphere fluxes, or anthropogenic exchanges, such as urban carbon fluxes

</topic>


### Instructions

The question must strictly reflect the stated INTENT and be centered on the specified TOPIC along with its SUBJECT AREAS. Do not include any background or explanation—just the question.
This question will be used to evaluate the performance of a scientific QA system under Retrieval-Augmented Generation (RAG) and zero-shot prompting conditions.


### Question:
","How do variations in cryospheric indicators, such as glacier retreat and sea ice extent, influence carbon flux dynamics and land surface heat absorption patterns?"
1,CLIMATE INDICATORS_Comparative,Comparative,CLIMATE INDICATORS,"['LAND SURFACE/AGRICULTURE INDICATORS', 'CRYOSPHERIC INDICATORS', 'CARBON FLUX']","**TOPIC**: CLIMATE INDICATORS - Climate Indicators are a set of parameters that describe the changing climate without reducing climate change to only temperature. They comprise key information for the most relevant domains of climate change: temperature and energy, atmospheric composition, ocean and water as well as the cryosphere.. 

- *sSUBJECT AREA*: LAND SURFACE/AGRICULTURE INDICATORS
A set of parameters including topography and the heat-island effect that describe the changing climate on the land surface and agriculture lands.
- *sSUBJECT AREA*: CRYOSPHERIC INDICATORS
A set of parameters that describe the changing climate with a focus on the cryosphere, which can include ice sheets, ice shelves, glaciers, snow cover, permafrost (frozen ground), sea ice, and river and lake ice. The cryosphere exerts an important influence on Earth’s climate, owing to its high surface reflectivity (albedo). This property gives it the ability to reflect a large fraction of solar radiation back into space and influences how much solar energy is absorbed by land and oceans. Ice on land, in the form of ice sheets and glaciers, plays a further important role in the Earth system through its ability to store vast amounts of water away from the oceans for long periods of time. Any change in the ice volume stored on land, as ice sheets and glaciers grow or shrink, has a direct impact on global mean sea level. As the climate changes, the cryosphere changes with it and, through feedback processes, these changes have an influence on the climate. For example, the increased melting of snow and ice caused by a warming planet enables more solar energy to be absorbed by land or water, which in turn leads to more warming. This is also known as the snow- or ice-albedo feedback.
- *sSUBJECT AREA*: CARBON FLUX
Carbon flux refers to the direction and rate of transfer, or flows, of carbon between Earth’s carbon pools such as the oceans, atmosphere,land, other living things. Carbon fluxes can be natural exchanges, such as land-atmosphere and ocean-atmosphere fluxes, or anthropogenic exchanges, such as urban carbon fluxes
","
### Question Criteria:

INTENT: Comparative — The user intends to compare two or more methods, approaches, datasets, tools, methods, or hypotheses to evaluate differences or effectiveness.

TOPIC:

The topics are extracted from the NASA GCMD Taxonomy. The TOPIC is described and few of its SUBJECT AREAS.

<topic>
    **TOPIC**: CLIMATE INDICATORS - Climate Indicators are a set of parameters that describe the changing climate without reducing climate change to only temperature. They comprise key information for the most relevant domains of climate change: temperature and energy, atmospheric composition, ocean and water as well as the cryosphere.. 

- *sSUBJECT AREA*: LAND SURFACE/AGRICULTURE INDICATORS
A set of parameters including topography and the heat-island effect that describe the changing climate on the land surface and agriculture lands.
- *sSUBJECT AREA*: CRYOSPHERIC INDICATORS
A set of parameters that describe the changing climate with a focus on the cryosphere, which can include ice sheets, ice shelves, glaciers, snow cover, permafrost (frozen ground), sea ice, and river and lake ice. The cryosphere exerts an important influence on Earth’s climate, owing to its high surface reflectivity (albedo). This property gives it the ability to reflect a large fraction of solar radiation back into space and influences how much solar energy is absorbed by land and oceans. Ice on land, in the form of ice sheets and glaciers, plays a further important role in the Earth system through its ability to store vast amounts of water away from the oceans for long periods of time. Any change in the ice volume stored on land, as ice sheets and glaciers grow or shrink, has a direct impact on global mean sea level. As the climate changes, the cryosphere changes with it and, through feedback processes, these changes have an influence on the climate. For example, the increased melting of snow and ice caused by a warming planet enables more solar energy to be absorbed by land or water, which in turn leads to more warming. This is also known as the snow- or ice-albedo feedback.
- *sSUBJECT AREA*: CARBON FLUX
Carbon flux refers to the direction and rate of transfer, or flows, of carbon between Earth’s carbon pools such as the oceans, atmosphere,land, other living things. Carbon fluxes can be natural exchanges, such as land-atmosphere and ocean-atmosphere fluxes, or anthropogenic exchanges, such as urban carbon fluxes

</topic>


### Instructions

The question must strictly reflect the stated INTENT and be centered on the specified TOPIC along with its SUBJECT AREAS. Do not include any background or explanation—just the question.
This question will be used to evaluate the performance of a scientific QA system under Retrieval-Augmented Generation (RAG) and zero-shot prompting conditions.


### Question:
",How do cryospheric indicators compare to land surface/agriculture indicators in their sensitivity to climate-induced changes in albedo?
2,CLIMATE INDICATORS_Descriptive,Descriptive,CLIMATE INDICATORS,"['LAND SURFACE/AGRICULTURE INDICATORS', 'CRYOSPHERIC INDICATORS', 'CARBON FLUX']","**TOPIC**: CLIMATE INDICATORS - Climate Indicators are a set of parameters that describe the changing climate without reducing climate change to only temperature. They comprise key information for the most relevant domains of climate change: temperature and energy, atmospheric composition, ocean and water as well as the cryosphere.. 

- *sSUBJECT AREA*: LAND SURFACE/AGRICULTURE INDICATORS
A set of parameters including topography and the heat-island effect that describe the changing climate on the land surface and agriculture lands.
- *sSUBJECT AREA*: CRYOSPHERIC INDICATORS
A set of parameters that describe the changing climate with a focus on the cryosphere, which can include ice sheets, ice shelves, glaciers, snow cover, permafrost (frozen ground), sea ice, and river and lake ice. The cryosphere exerts an important influence on Earth’s climate, owing to its high surface reflectivity (albedo). This property gives it the ability to reflect a large fraction of solar radiation back into space and influences how much solar energy is absorbed by land and oceans. Ice on land, in the form of ice sheets and glaciers, plays a further important role in the Earth system through its ability to store vast amounts of water away from the oceans for long periods of time. Any change in the ice volume stored on land, as ice sheets and glaciers grow or shrink, has a direct impact on global mean sea level. As the climate changes, the cryosphere changes with it and, through feedback processes, these changes have an influence on the climate. For example, the increased melting of snow and ice caused by a warming planet enables more solar energy to be absorbed by land or water, which in turn leads to more warming. This is also known as the snow- or ice-albedo feedback.
- *sSUBJECT AREA*: CARBON FLUX
Carbon flux refers to the direction and rate of transfer, or flows, of carbon between Earth’s carbon pools such as the oceans, atmosphere,land, other living things. Carbon fluxes can be natural exchanges, such as land-atmosphere and ocean-atmosphere fluxes, or anthropogenic exchanges, such as urban carbon fluxes
","
### Question Criteria:

INTENT: Descriptive — The user wants a concise, factual explanation or summary of a concept, object, or phenomenon—often 'What is X?'.

TOPIC:

The topics are extracted from the NASA GCMD Taxonomy. The TOPIC is described and few of its SUBJECT AREAS.

<topic>
    **TOPIC**: CLIMATE INDICATORS - Climate Indicators are a set of parameters that describe the changing climate without reducing climate change to only temperature. They comprise key information for the most relevant domains of climate change: temperature and energy, atmospheric composition, ocean and water as well as the cryosphere.. 

- *sSUBJECT AREA*: LAND SURFACE/AGRICULTURE INDICATORS
A set of parameters including topography and the heat-island effect that describe the changing climate on the land surface and agriculture lands.
- *sSUBJECT AREA*: CRYOSPHERIC INDICATORS
A set of parameters that describe the changing climate with a focus on the cryosphere, which can include ice sheets, ice shelves, glaciers, snow cover, permafrost (frozen ground), sea ice, and river and lake ice. The cryosphere exerts an important influence on Earth’s climate, owing to its high surface reflectivity (albedo). This property gives it the ability to reflect a large fraction of solar radiation back into space and influences how much solar energy is absorbed by land and oceans. Ice on land, in the form of ice sheets and glaciers, plays a further important role in the Earth system through its ability to store vast amounts of water away from the oceans for long periods of time. Any change in the ice volume stored on land, as ice sheets and glaciers grow or shrink, has a direct impact on global mean sea level. As the climate changes, the cryosphere changes with it and, through feedback processes, these changes have an influence on the climate. For example, the increased melting of snow and ice caused by a warming planet enables more solar energy to be absorbed by land or water, which in turn leads to more warming. This is also known as the snow- or ice-albedo feedback.
- *sSUBJECT AREA*: CARBON FLUX
Carbon flux refers to the direction and rate of transfer, or flows, of carbon between Earth’s carbon pools such as the oceans, atmosphere,land, other living things. Carbon fluxes can be natural exchanges, such as land-atmosphere and ocean-atmosphere fluxes, or anthropogenic exchanges, such as urban carbon fluxes

</topic>


### Instructions

The question must strictly reflect the stated INTENT and be centered on the specified TOPIC along with its SUBJECT AREAS. Do not include any background or explanation—just the question.
This question will be used to evaluate the performance of a scientific QA system under Retrieval-Augmented Generation (RAG) and zero-shot prompting conditions.


### Question:
",What are cryospheric indicators and how do they influence Earth's climate?
3,CLIMATE INDICATORS_Causal,Causal,CLIMATE INDICATORS,"['LAND SURFACE/AGRICULTURE INDICATORS', 'CRYOSPHERIC INDICATORS', 'CARBON FLUX']","**TOPIC**: CLIMATE INDICATORS - Climate Indicators are a set of parameters that describe the changing climate without reducing climate change to only temperature. They comprise key information for the most relevant domains of climate change: temperature and energy, atmospheric composition, ocean and water as well as the cryosphere.. 

- *sSUBJECT AREA*: LAND SURFACE/AGRICULTURE INDICATORS
A set of parameters including topography and the heat-island effect that describe the changing climate on the land surface and agriculture lands.
- *sSUBJECT AREA*: CRYOSPHERIC INDICATORS
A set of parameters that describe the changing climate with a focus on the cryosphere, which can include ice sheets, ice shelves, glaciers, snow cover, permafrost (frozen ground), sea ice, and river and lake ice. The cryosphere exerts an important influence on Earth’s climate, owing to its high surface reflectivity (albedo). This property gives it the ability to reflect a large fraction of solar radiation back into space and influences how much solar energy is absorbed by land and oceans. Ice on land, in the form of ice sheets and glaciers, plays a further important role in the Earth system through its ability to store vast amounts of water away from the oceans for long periods of time. Any change in the ice volume stored on land, as ice sheets and glaciers grow or shrink, has a direct impact on global mean sea level. As the climate changes, the cryosphere changes with it and, through feedback processes, these changes have an influence on the climate. For example, the increased melting of snow and ice caused by a warming planet enables more solar energy to be absorbed by land or water, which in turn leads to more warming. This is also known as the snow- or ice-albedo feedback.
- *sSUBJECT AREA*: CARBON FLUX
Carbon flux refers to the direction and rate of transfer, or flows, of carbon between Earth’s carbon pools such as the oceans, atmosphere,land, other living things. Carbon fluxes can be natural exchanges, such as land-atmosphere and ocean-atmosphere fluxes, or anthropogenic exchanges, such as urban carbon fluxes
","
### Question Criteria:

INTENT: Causal — The user asks about causes, effects, or mechanisms—typically beginning with 'Why' or 'How does X influence Y?'.

TOPIC:

The topics are extracted from the NASA GCMD Taxonomy. The TOPIC is described and few of its SUBJECT AREAS.

<topic>
    **TOPIC**: CLIMATE INDICATORS - Climate Indicators are a set of parameters that describe the changing climate without reducing climate change to only temperature. They comprise key information for the most relevant domains of climate change: temperature and energy, atmospheric composition, ocean and water as well as the cryosphere.. 

- *sSUBJECT AREA*: LAND SURFACE/AGRICULTURE INDICATORS
A set of parameters including topography and the heat-island effect that describe the changing climate on the land surface and agriculture lands.
- *sSUBJECT AREA*: CRYOSPHERIC INDICATORS
A set of parameters that describe the changing climate with a focus on the cryosphere, which can include ice sheets, ice shelves, glaciers, snow cover, permafrost (frozen ground), sea ice, and river and lake ice. The cryosphere exerts an important influence on Earth’s climate, owing to its high surface reflectivity (albedo). This property gives it the ability to reflect a large fraction of solar radiation back into space and influences how much solar energy is absorbed by land and oceans. Ice on land, in the form of ice sheets and glaciers, plays a further important role in the Earth system through its ability to store vast amounts of water away from the oceans for long periods of time. Any change in the ice volume stored on land, as ice sheets and glaciers grow or shrink, has a direct impact on global mean sea level. As the climate changes, the cryosphere changes with it and, through feedback processes, these changes have an influence on the climate. For example, the increased melting of snow and ice caused by a warming planet enables more solar energy to be absorbed by land or water, which in turn leads to more warming. This is also known as the snow- or ice-albedo feedback.
- *sSUBJECT AREA*: CARBON FLUX
Carbon flux refers to the direction and rate of transfer, or flows, of carbon between Earth’s carbon pools such as the oceans, atmosphere,land, other living things. Carbon fluxes can be natural exchanges, such as land-atmosphere and ocean-atmosphere fluxes, or anthropogenic exchanges, such as urban carbon fluxes

</topic>


### Instructions

The question must strictly reflect the stated INTENT and be centered on the specified TOPIC along with its SUBJECT AREAS. Do not include any background or explanation—just the question.
This question will be used to evaluate the performance of a scientific QA system under Retrieval-Augmented Generation (RAG) and zero-shot prompting conditions.


### Question:
",How does the melting of glaciers and ice sheets influence global sea level and the snow-albedo feedback mechanism?
4,CLIMATE INDICATORS_Relational,Relational,CLIMATE INDICATORS,"['LAND SURFACE/AGRICULTURE INDICATORS', 'CRYOSPHERIC INDICATORS', 'CARBON FLUX']","**TOPIC**: CLIMATE INDICATORS - Climate Indicators are a set of parameters that describe the changing climate without reducing climate change to only temperature. They comprise key information for the most relevant domains of climate change: temperature and energy, atmospheric composition, ocean and water as well as the cryosphere.. 

- *sSUBJECT AREA*: LAND SURFACE/AGRICULTURE INDICATORS
A set of parameters including topography and the heat-island effect that describe the changing climate on the land surface and agriculture lands.
- *sSUBJECT AREA*: CRYOSPHERIC INDICATORS
A set of parameters that describe the changing climate with a focus on the cryosphere, which can include ice sheets, ice shelves, glaciers, snow cover, permafrost (frozen ground), sea ice, and river and lake ice. The cryosphere exerts an important influence on Earth’s climate, owing to its high surface reflectivity (albedo). This property gives it the ability to reflect a large fraction of solar radiation back into space and influences how much solar energy is absorbed by land and oceans. Ice on land, in the form of ice sheets and glaciers, plays a further important role in the Earth system through its ability to store vast amounts of water away from the oceans for long periods of time. Any change in the ice volume stored on land, as ice sheets and glaciers grow or shrink, has a direct impact on global mean sea level. As the climate changes, the cryosphere changes with it and, through feedback processes, these changes have an influence on the climate. For example, the increased melting of snow and ice caused by a warming planet enables more solar energy to be absorbed by land or water, which in turn leads to more warming. This is also known as the snow- or ice-albedo feedback.
- *sSUBJECT AREA*: CARBON FLUX
Carbon flux refers to the direction and rate of transfer, or flows, of carbon between Earth’s carbon pools such as the oceans, atmosphere,land, other living things. Carbon fluxes can be natural exchanges, such as land-atmosphere and ocean-atmosphere fluxes, or anthropogenic exchanges, such as urban carbon fluxes
","
### Question Criteria:

INTENT: Relational — The user inquires about the relationship or correlation between two or more scientific variables or phenomena.

TOPIC:

The topics are extracted from the NASA GCMD Taxonomy. The TOPIC is described and few of its SUBJECT AREAS.

<topic>
    **TOPIC**: CLIMATE INDICATORS - Climate Indicators are a set of parameters that describe the changing climate without reducing climate change to only temperature. They comprise key information for the most relevant domains of climate change: temperature and energy, atmospheric composition, ocean and water as well as the cryosphere.. 

- *sSUBJECT AREA*: LAND SURFACE/AGRICULTURE INDICATORS
A set of parameters including topography and the heat-island effect that describe the changing climate on the land surface and agriculture lands.
- *sSUBJECT AREA*: CRYOSPHERIC INDICATORS
A set of parameters that describe the changing climate with a focus on the cryosphere, which can include ice sheets, ice shelves, glaciers, snow cover, permafrost (frozen ground), sea ice, and river and lake ice. The cryosphere exerts an important influence on Earth’s climate, owing to its high surface reflectivity (albedo). This property gives it the ability to reflect a large fraction of solar radiation back into space and influences how much solar energy is absorbed by land and oceans. Ice on land, in the form of ice sheets and glaciers, plays a further important role in the Earth system through its ability to store vast amounts of water away from the oceans for long periods of time. Any change in the ice volume stored on land, as ice sheets and glaciers grow or shrink, has a direct impact on global mean sea level. As the climate changes, the cryosphere changes with it and, through feedback processes, these changes have an influence on the climate. For example, the increased melting of snow and ice caused by a warming planet enables more solar energy to be absorbed by land or water, which in turn leads to more warming. This is also known as the snow- or ice-albedo feedback.
- *sSUBJECT AREA*: CARBON FLUX
Carbon flux refers to the direction and rate of transfer, or flows, of carbon between Earth’s carbon pools such as the oceans, atmosphere,land, other living things. Carbon fluxes can be natural exchanges, such as land-atmosphere and ocean-atmosphere fluxes, or anthropogenic exchanges, such as urban carbon fluxes

</topic>


### Instructions

The question must strictly reflect the stated INTENT and be centered on the specified TOPIC along with its SUBJECT AREAS. Do not include any background or explanation—just the question.
This question will be used to evaluate the performance of a scientific QA system under Retrieval-Augmented Generation (RAG) and zero-shot prompting conditions.


### Question:
","What is the relationship between cryospheric changes, such as glacier melt and snow cover reduction, and carbon flux dynamics in terrestrial ecosystems?"
5,SOLID EARTH_Exploratory,Exploratory,SOLID EARTH,"['TECTONICS', 'GEOMAGNETISM', 'GEODETICS']","**TOPIC**: SOLID EARTH - Refers to ""the Earth beneath our feet"", the planet's solid surface and its interior.. 

- *sSUBJECT AREA*: TECTONICS
Branch of geology that deals with regional structure and deformational features of the Earth's crust.
- *sSUBJECT AREA*: GEOMAGNETISM
The magnetism of the earth. Also known as terrestrial magnetism.
- *sSUBJECT AREA*: GEODETICS
The scientific discipline that deals with the measurement and representation of the earth, its gravitational field and geodynamic phenomena (polar motion, earth tides, and tectonic motion) in three-dimensional, time-varying space.
","
### Question Criteria:

INTENT: Exploratory — The user seeks to discover patterns, generate hypotheses, or broadly explore a topic without predefined expectations. Often open-ended and inductive.

TOPIC:

The topics are extracted from the NASA GCMD Taxonomy. The TOPIC is described and few of its SUBJECT AREAS.

<topic>
    **TOPIC**: SOLID EARTH - Refers to ""the Earth beneath our feet"", the planet's solid surface and its interior.. 

- *sSUBJECT AREA*: TECTONICS
Branch of geology that deals with regional structure and deformational features of the Earth's crust.
- *sSUBJECT AREA*: GEOMAGNETISM
The magnetism of the earth. Also known as terrestrial magnetism.
- *sSUBJECT AREA*: GEODETICS
The scientific discipline that deals with the measurement and representation of the earth, its gravitational field and geodynamic phenomena (polar motion, earth tides, and tectonic motion) in three-dimensional, time-varying space.

</topic>


### Instructions

The question must strictly reflect the stated INTENT and be centered on the specified TOPIC along with its SUBJECT AREAS. Do not include any background or explanation—just the question.
This question will be used to evaluate the performance of a scientific QA system under Retrieval-Augmented Generation (RAG) and zero-shot prompting conditions.


### Question:
",How do variations in Earth's geomagnetic field correlate with tectonic plate movements and geodetic measurements over time?
6,SOLID EARTH_Comparative,Comparative,SOLID EARTH,"['TECTONICS', 'GEOMAGNETISM', 'GEODETICS']","**TOPIC**: SOLID EARTH - Refers to ""the Earth beneath our feet"", the planet's solid surface and its interior.. 

- *sSUBJECT AREA*: TECTONICS
Branch of geology that deals with regional structure and deformational features of the Earth's crust.
- *sSUBJECT AREA*: GEOMAGNETISM
The magnetism of the earth. Also known as terrestrial magnetism.
- *sSUBJECT AREA*: GEODETICS
The scientific discipline that deals with the measurement and representation of the earth, its gravitational field and geodynamic phenomena (polar motion, earth tides, and tectonic motion) in three-dimensional, time-varying space.
","
### Question Criteria:

INTENT: Comparative — The user intends to compare two or more methods, approaches, datasets, tools, methods, or hypotheses to evaluate differences or effectiveness.

TOPIC:

The topics are extracted from the NASA GCMD Taxonomy. The TOPIC is described and few of its SUBJECT AREAS.

<topic>
    **TOPIC**: SOLID EARTH - Refers to ""the Earth beneath our feet"", the planet's solid surface and its interior.. 

- *sSUBJECT AREA*: TECTONICS
Branch of geology that deals with regional structure and deformational features of the Earth's crust.
- *sSUBJECT AREA*: GEOMAGNETISM
The magnetism of the earth. Also known as terrestrial magnetism.
- *sSUBJECT AREA*: GEODETICS
The scientific discipline that deals with the measurement and representation of the earth, its gravitational field and geodynamic phenomena (polar motion, earth tides, and tectonic motion) in three-dimensional, time-varying space.

</topic>


### Instructions

The question must strictly reflect the stated INTENT and be centered on the specified TOPIC along with its SUBJECT AREAS. Do not include any background or explanation—just the question.
This question will be used to evaluate the performance of a scientific QA system under Retrieval-Augmented Generation (RAG) and zero-shot prompting conditions.


### Question:
",How do satellite-based geodetic measurements compare to ground-based geodetic techniques in detecting and monitoring tectonic plate movements?
7,SOLID EARTH_Descriptive,Descriptive,SOLID EARTH,"['TECTONICS', 'GEOMAGNETISM', 'GEODETICS']","**TOPIC**: SOLID EARTH - Refers to ""the Earth beneath our feet"", the planet's solid surface and its interior.. 

- *sSUBJECT AREA*: TECTONICS
Branch of geology that deals with regional structure and deformational features of the Earth's crust.
- *sSUBJECT AREA*: GEOMAGNETISM
The magnetism of the earth. Also known as terrestrial magnetism.
- *sSUBJECT AREA*: GEODETICS
The scientific discipline that deals with the measurement and representation of the earth, its gravitational field and geodynamic phenomena (polar motion, earth tides, and tectonic motion) in three-dimensional, time-varying space.
","
### Question Criteria:

INTENT: Descriptive — The user wants a concise, factual explanation or summary of a concept, object, or phenomenon—often 'What is X?'.

TOPIC:

The topics are extracted from the NASA GCMD Taxonomy. The TOPIC is described and few of its SUBJECT AREAS.

<topic>
    **TOPIC**: SOLID EARTH - Refers to ""the Earth beneath our feet"", the planet's solid surface and its interior.. 

- *sSUBJECT AREA*: TECTONICS
Branch of geology that deals with regional structure and deformational features of the Earth's crust.
- *sSUBJECT AREA*: GEOMAGNETISM
The magnetism of the earth. Also known as terrestrial magnetism.
- *sSUBJECT AREA*: GEODETICS
The scientific discipline that deals with the measurement and representation of the earth, its gravitational field and geodynamic phenomena (polar motion, earth tides, and tectonic motion) in three-dimensional, time-varying space.

</topic>


### Instructions

The question must strictly reflect the stated INTENT and be centered on the specified TOPIC along with its SUBJECT AREAS. Do not include any background or explanation—just the question.
This question will be used to evaluate the performance of a scientific QA system under Retrieval-Augmented Generation (RAG) and zero-shot prompting conditions.


### Question:
",What is geomagnetism and how does it influence the Earth's surface and interior?
8,SOLID EARTH_Causal,Causal,SOLID EARTH,"['TECTONICS', 'GEOMAGNETISM', 'GEODETICS']","**TOPIC**: SOLID EARTH - Refers to ""the Earth beneath our feet"", the planet's solid surface and its interior.. 

- *sSUBJECT AREA*: TECTONICS
Branch of geology that deals with regional structure and deformational features of the Earth's crust.
- *sSUBJECT AREA*: GEOMAGNETISM
The magnetism of the earth. Also known as terrestrial magnetism.
- *sSUBJECT AREA*: GEODETICS
The scientific discipline that deals with the measurement and representation of the earth, its gravitational field and geodynamic phenomena (polar motion, earth tides, and tectonic motion) in three-dimensional, time-varying space.
","
### Question Criteria:

INTENT: Causal — The user asks about causes, effects, or mechanisms—typically beginning with 'Why' or 'How does X influence Y?'.

TOPIC:

The topics are extracted from the NASA GCMD Taxonomy. The TOPIC is described and few of its SUBJECT AREAS.

<topic>
    **TOPIC**: SOLID EARTH - Refers to ""the Earth beneath our feet"", the planet's solid surface and its interior.. 

- *sSUBJECT AREA*: TECTONICS
Branch of geology that deals with regional structure and deformational features of the Earth's crust.
- *sSUBJECT AREA*: GEOMAGNETISM
The magnetism of the earth. Also known as terrestrial magnetism.
- *sSUBJECT AREA*: GEODETICS
The scientific discipline that deals with the measurement and representation of the earth, its gravitational field and geodynamic phenomena (polar motion, earth tides, and tectonic motion) in three-dimensional, time-varying space.

</topic>


### Instructions

The question must strictly reflect the stated INTENT and be centered on the specified TOPIC along with its SUBJECT AREAS. Do not include any background or explanation—just the question.
This question will be used to evaluate the performance of a scientific QA system under Retrieval-Augmented Generation (RAG) and zero-shot prompting conditions.


### Question:
",How does tectonic activity influence the Earth's geomagnetic field over geological timescales?
9,SOLID EARTH_Relational,Relational,SOLID EARTH,"['TECTONICS', 'GEOMAGNETISM', 'GEODETICS']","**TOPIC**: SOLID EARTH - Refers to ""the Earth beneath our feet"", the planet's solid surface and its interior.. 

- *sSUBJECT AREA*: TECTONICS
Branch of geology that deals with regional structure and deformational features of the Earth's crust.
- *sSUBJECT AREA*: GEOMAGNETISM
The magnetism of the earth. Also known as terrestrial magnetism.
- *sSUBJECT AREA*: GEODETICS
The scientific discipline that deals with the measurement and representation of the earth, its gravitational field and geodynamic phenomena (polar motion, earth tides, and tectonic motion) in three-dimensional, time-varying space.
","
### Question Criteria:

INTENT: Relational — The user inquires about the relationship or correlation between two or more scientific variables or phenomena.

TOPIC:

The topics are extracted from the NASA GCMD Taxonomy. The TOPIC is described and few of its SUBJECT AREAS.

<topic>
    **TOPIC**: SOLID EARTH - Refers to ""the Earth beneath our feet"", the planet's solid surface and its interior.. 

- *sSUBJECT AREA*: TECTONICS
Branch of geology that deals with regional structure and deformational features of the Earth's crust.
- *sSUBJECT AREA*: GEOMAGNETISM
The magnetism of the earth. Also known as terrestrial magnetism.
- *sSUBJECT AREA*: GEODETICS
The scientific discipline that deals with the measurement and representation of the earth, its gravitational field and geodynamic phenomena (polar motion, earth tides, and tectonic motion) in three-dimensional, time-varying space.

</topic>


### Instructions

The question must strictly reflect the stated INTENT and be centered on the specified TOPIC along with its SUBJECT AREAS. Do not include any background or explanation—just the question.
This question will be used to evaluate the performance of a scientific QA system under Retrieval-Augmented Generation (RAG) and zero-shot prompting conditions.


### Question:
",What is the relationship between tectonic plate motion and variations in Earth's geomagnetic field intensity over geological timescales?
